"id","userId","date","inTime","outTime","status","isLate","createdAt","inTime1","outTime1","inBranch1","outBranch1","inTime2","outTime2","inBranch2","outBranch2","inTime3","outTime3","inBranch3","outBranch3","inTime4","outTime4","inTime5","outTime5","info","info1","info2","info3","info4","info5"
"1399","52","2026-05-05T18:30:00.000Z","2026-05-06T03:29:44.806Z","2026-05-06T12:32:07.583Z","OUT","false","2026-06-02T05:34:40.599Z","2026-05-06T03:29:44.806Z","2026-05-06T12:32:07.583Z","LEGACY_B","LEGACY_B","","","","","","","","","","","","","Legacy DB B Import","","","","",""
"1400","41","2026-05-05T18:30:00.000Z","2026-05-06T01:30:00.000Z","2026-05-06T15:25:44.629Z","OUT","false","2026-06-02T05:34:40.674Z","2026-05-06T01:30:00.000Z","2026-05-06T02:30:00.000Z","LEGACY_B","LEGACY_B","","","","","","","","","","","","","Legacy DB B Import","","","","",""
"1401","67","2026-05-05T18:30:00.000Z","2026-05-06T02:46:38.872Z","2026-05-06T15:29:07.054Z","OUT","true","2026-06-02T05:34:40.749Z","2026-05-06T02:46:38.872Z","2026-05-06T06:33:17.194Z","LEGACY_B","LEGACY_B","","","","","","","","","","","","","Legacy DB B Import","","","","",""
"1402","57","2026-05-05T18:30:00.000Z","2026-05-06T01:41:36.313Z","2026-05-06T15:29:19.632Z","OUT","true","2026-06-02T05:34:40.823Z","2026-05-06T01:41:36.313Z","2026-05-06T05:33:38.195Z","LEGACY_B","LEGACY_B","","","","","","","","","","","","","Legacy DB B Import","","","","",""
"1403","56","2026-05-05T18:30:00.000Z","2026-05-06T02:47:13.801Z","2026-05-06T15:30:04.224Z","OUT","true","2026-06-02T05:34:40.903Z","2026-05-06T02:47:13.801Z","2026-05-06T07:03:01.344Z","LEGACY_B","LEGACY_B","","","","","","","","","","","","","Legacy DB B Import","","","","",""
"1366","59","2026-05-02T18:30:00.000Z","2026-05-03T03:44:04.580Z","2026-05-03T07:30:45.676Z","OUT","true","2026-06-02T05:34:38.084Z","2026-05-03T03:44:04.580Z","2026-05-03T07:30:45.676Z","LEGACY_B","LEGACY_B","","","","","","","","","","","","","Legacy DB B Import","","","","",""
"1373","57","2026-05-01T18:30:00.000Z","2026-05-02T01:53:37.333Z","2026-05-02T14:32:24.203Z","OUT","true","2026-06-02T05:34:38.624Z","2026-05-02T01:53:37.333Z","2026-05-02T14:32:24.203Z","LEGACY_B","LEGACY_B","","","","","","","","","","","","","Legacy DB B Import","","","","",""
"1385","63","2026-05-04T18:30:00.000Z","2026-05-05T10:59:04.060Z","2026-05-05T15:26:46.529Z","OUT","true","2026-06-02T05:34:39.541Z","2026-05-05T10:59:04.060Z","2026-05-05T15:26:46.529Z","LEGACY_B","LEGACY_B","","","","","","","","","","","","","Legacy DB B Import","","","","",""
"1396","63","2026-05-07T18:30:00.000Z","2026-05-08T01:42:06.799Z","","IN","true","2026-06-02T05:34:40.371Z","2026-05-08T01:42:06.799Z","","LEGACY_B","LEGACY_B","","","","","","","","","","","","","Legacy DB B Import","","","","",""
"1404","59","2026-05-05T18:30:00.000Z","2026-05-06T05:33:02.905Z","2026-05-06T15:30:18.589Z","OUT","true","2026-06-02T05:34:40.978Z","2026-05-06T05:33:02.905Z","2026-05-06T15:30:18.589Z","LEGACY_B","LEGACY_B","","","","","","","","","","","","","Legacy DB B Import","","","","",""
"1405","40","2026-05-05T18:30:00.000Z","2026-05-06T01:25:42.790Z","2026-05-06T15:30:47.359Z","OUT","false","2026-06-02T05:34:41.054Z","2026-05-06T01:25:42.790Z","2026-05-06T03:31:00.289Z","LEGACY_B","LEGACY_B","","","","","","","","","","","","","Legacy DB B Import","","","","",""
"1406","61","2026-05-05T18:30:00.000Z","2026-05-06T10:22:58.336Z","2026-05-06T15:32:23.909Z","OUT","false","2026-06-02T05:34:41.129Z","2026-05-06T10:22:58.336Z","2026-05-06T15:32:23.909Z","LEGACY_B","LEGACY_B","","","","","","","","","","","","","Legacy DB B Import","","","","",""
